@relation 'Airline-weka.filters.unsupervised.attribute.Remove-R1,6-weka.filters.unsupervised.attribute.NumericToNominal-R2-3'

@attribute FARE numeric
@attribute SUCCESS {0,1}
@attribute SEATCLASS {1,2,3}
@attribute GUESTS numeric
@attribute age numeric
@attribute gender {Male,Female}

@data
7.25,0,3,1,22,Male
71.2833,1,1,1,38,Female
7.925,1,3,0,26,Female
53.1,1,1,1,35,Female
8.05,0,3,0,35,Male
8.4583,0,3,0,30,Male
51.8625,0,1,0,54,Male
21.075,0,3,3,2,Male
11.1333,1,3,0,27,Female
30.0708,1,2,1,14,Female
16.7,1,3,1,4,Female
26.55,1,1,0,58,Female
8.05,0,3,0,20,Male
31.275,0,3,1,39,Male
7.8542,0,3,0,14,Female
16,1,2,0,55,Female
29.125,0,3,4,2,Male
13,1,2,0,30,Male
18,0,3,1,31,Female
7.225,1,3,0,35,Female
26,0,2,0,35,Male
13,1,2,0,34,Male
8.0292,1,3,0,15,Female
35.5,1,1,0,28,Male
21.075,0,3,3,8,Female
31.3875,1,3,1,38,Female
7.225,0,3,0,30,Male
263,0,1,3,19,Male
7.8792,1,3,0,21,Female
7.8958,0,3,0,30,Male
27.7208,0,1,0,40,Male
146.5208,1,1,1,35,Female
7.75,1,3,0,21,Female
10.5,0,2,0,66,Male
82.1708,0,1,1,28,Male
52,0,1,1,42,Male
7.2292,1,3,0,30,Male
8.05,0,3,0,21,Male
18,0,3,2,18,Female
11.2417,1,3,1,14,Female
9.475,0,3,1,40,Female
21,0,2,1,27,Female
7.8958,0,3,0,30,Male
41.5792,1,2,1,3,Female
7.8792,1,3,0,19,Female
8.05,0,3,0,30,Male
15.5,0,3,1,30,Male
7.75,1,3,0,21,Female
21.6792,0,3,2,30,Male
17.8,0,3,1,18,Female
39.6875,0,3,4,7,Male
7.8,0,3,0,21,Male
76.7292,1,1,1,49,Female
26,1,2,1,29,Female
61.9792,0,1,0,65,Male
35.5,1,1,0,30,Male
10.5,1,2,0,21,Female
7.2292,0,3,0,28,Male
27.75,1,2,1,5,Female
46.9,0,3,5,11,Male
7.2292,0,3,0,22,Male
80,1,1,0,38,Female
83.475,0,1,1,45,Male
27.9,0,3,3,4,Male
27.7208,0,1,0,30,Male
15.2458,1,3,1,4,Male
10.5,1,2,0,29,Female
8.1583,0,3,0,19,Male
7.925,1,3,4,17,Female
8.6625,0,3,2,26,Male
10.5,0,2,0,32,Male
46.9,0,3,5,16,Female
73.5,0,2,0,21,Male
14.4542,0,3,1,26,Male
56.4958,1,3,0,32,Male
7.65,0,3,0,25,Male
7.8958,0,3,0,30,Male
8.05,0,3,0,30,Male
29,1,2,0,0,Male
12.475,1,3,0,30,Female
9,0,3,0,22,Male
9.5,1,3,0,29,Male
7.7875,1,3,0,21,Female
47.1,0,1,0,28,Male
10.5,1,2,0,17,Female
15.85,1,3,3,33,Female
34.375,0,3,1,16,Male
8.05,0,3,0,30,Male
263,1,1,3,23,Female
8.05,0,3,0,24,Male
8.05,0,3,0,29,Male
7.8542,0,3,0,20,Male
61.175,0,1,1,46,Male
20.575,0,3,1,26,Male
7.25,0,3,0,59,Male
8.05,0,3,0,30,Male
34.6542,0,1,0,71,Male
63.3583,1,1,0,23,Male
23,1,2,0,34,Female
26,0,2,1,34,Male
7.8958,0,3,0,28,Female
7.8958,0,3,0,30,Male
77.2875,0,1,0,21,Male
8.6542,0,3,0,33,Male
7.925,0,3,2,37,Male
7.8958,0,3,0,28,Male
7.65,1,3,0,21,Female
7.775,1,3,0,30,Male
7.8958,0,3,0,38,Male
24.15,1,3,1,21,Female
52,0,1,0,47,Male
14.4542,0,3,1,14,Female
8.05,0,3,0,22,Male
9.825,0,3,1,20,Female
14.4583,0,3,0,17,Female
7.925,0,3,0,21,Male
7.75,0,3,0,70,Male
21,0,2,1,29,Male
247.5208,0,1,0,24,Male
31.275,0,3,4,2,Female
73.5,0,2,2,21,Male
8.05,0,3,0,30,Male
30.0708,0,2,1,32,Male
13,1,2,0,32,Female
77.2875,0,1,0,54,Male
11.2417,1,3,1,12,Male
7.75,0,3,0,30,Male
7.1417,1,3,0,24,Male
22.3583,1,3,1,21,Female
6.975,0,3,0,45,Male
7.8958,0,3,0,33,Male
7.05,0,3,0,20,Male
14.5,0,3,1,47,Female
26,1,2,1,29,Female
13,0,2,0,25,Male
15.0458,0,2,0,23,Male
26.2833,1,1,0,19,Female
53.1,0,1,1,37,Male
9.2167,0,3,0,16,Male
79.2,0,1,0,24,Male
15.2458,0,3,0,35,Female
7.75,1,3,0,22,Female
15.85,1,3,1,24,Female
6.75,0,3,0,19,Male
11.5,0,2,0,18,Male
36.75,0,2,1,19,Male
7.7958,1,3,0,27,Male
34.375,0,3,2,9,Female
26,0,2,0,36,Male
66.6,1,1,1,22,Female
8.05,0,3,0,55,Male
14.5,0,3,0,40,Male
7.3125,0,3,0,30,Male
61.3792,0,1,0,51,Male
7.7333,1,3,0,16,Female
8.05,0,3,0,30,Male
8.6625,0,3,0,30,Male
69.55,0,3,8,4,Male
16.1,0,3,0,44,Male
15.75,1,2,0,40,Female
7.775,0,3,0,26,Male
8.6625,0,3,0,17,Male
39.6875,0,3,4,1,Male
20.525,1,3,0,9,Male
